iter	Passed	Remaining
405	6903	27104
406	6920	27088
407	6940	27080
408	6957	27065
409	6972	27041
410	6990	27025
411	7005	27002
412	7020	26978
413	7038	26964
414	7056	26951
415	7075	26939
416	7091	26921
417	7107	26900
418	7123	26877
419	7140	26860
420	7157	26846
421	7173	26825
422	7198	26836
423	7215	26819
424	7230	26796
425	7245	26769
426	7259	26743
427	7273	26716
428	7288	26690
429	7302	26664
430	7318	26643
431	7333	26619
432	7348	26595
433	7364	26572
434	7378	26545
435	7393	26520
436	7408	26498
437	7423	26472
438	7439	26453
439	7454	26429
440	7470	26408
441	7486	26390
442	7501	26367
443	7517	26344
444	7534	26327
445	7550	26307
446	7566	26289
447	7583	26272
448	7598	26248
449	7614	26227
450	7630	26209
451	7645	26185
452	7661	26164
453	7678	26146
454	7693	26124
455	7709	26103
456	7725	26085
457	7741	26062
458	7755	26038
459	7770	26015
460	7787	25996
461	7804	25979
462	7823	25971
463	7839	25951
464	7855	25933
465	7872	25915
466	7890	25900
467	7917	25917
468	7935	25906
469	7954	25894
470	7971	25877
471	7987	25857
472	8003	25838
473	8018	25815
474	8035	25798
475	8052	25780
476	8068	25761
477	8087	25750
478	8103	25730
479	8120	25714
480	8136	25694
481	8152	25673
482	8168	25656
483	8187	25645
484	8206	25634
485	8222	25614
486	8239	25597
487	8257	25584
488	8274	25569
489	8293	25557
490	8311	25544
491	8330	25531
492	8349	25522
493	8368	25511
494	8386	25499
495	8404	25484
496	8422	25469
497	8439	25452
498	8456	25436
499	8473	25419
500	8490	25402
501	8508	25388
502	8524	25371
503	8542	25356
504	8561	25345
505	8584	25346
506	8604	25339
507	8621	25322
508	8638	25303
509	8655	25287
510	8673	25273
511	8691	25260
512	8709	25246
513	8727	25230
514	8744	25215
515	8762	25200
516	8780	25185
517	8797	25169
518	8814	25151
519	8831	25135
520	8849	25120
521	8868	25110
522	8887	25099
523	8905	25083
524	8921	25064
525	8939	25049
526	8958	25039
527	8988	25059
528	9008	25050
529	9023	25028
530	9039	25006
531	9055	24986
